S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
47,NoWard,11846,"कालाेपुलमा रहेकाे  जेभियर इन्टरनेशनल कलेजले पहिले भर्ना गर्न लगायाे मेराे कामपाले लिएकाे स्कलरसिपमा  अरु कलेजमा नाम निस्कियाे पछि म जेभियर इन्टरनेशनल कजेलमा  भर्ना गरेकाे भर्ना फि ५००० रुपैया फिर्ता  दिनु भन्दा फिर्ता दिनु भएन  भन्ने गुनासाे आएकाे छ ।  
",09/12/2024,शिक्षा विभाग,closed
48,NoWard,11829,"KMC college ले छात्रवृति पाएको विधार्थीको १०,०००।- रुपैँया फिर्ता दिएन ।",09/11/2024,शिक्षा विभाग,closed
49,Ward 6,11740,बौद्धमा रहेको Children Army School ले सबै विद्यार्थीलाई अनिवार्य रुपमा कोचिङमा राख्नुपर्छ भनेर बाध्य बनाउँछ र कोचिङको शुल्क पनि लिन्छ । कोचिङको सट्टा हाम्रा छोराछोरीलाई घरैमा tuition पढाएर राख्न पाए हुन्थ्यो भन्ने गुनासो आएको छ ।,08/28/2024,शिक्षा विभाग,open
50,Ward 26,11697,"सामाखुशीमा रहेको तक्षशिला एकेडेमीले एक जना विद्यार्थीले कपाल नकाटेको भनी उक्त विद्यार्थीको कपाल काटेर, कुटेर, कैँचीले टाउकोमा घाउ पनि बनाइदिएको छ । स्कुलले गैरकानुनी रुपमा Discipline Incharge-DI पनि राखेको रहेछ भन्ने गुनासो आएको छ ।",08/21/2024,शिक्षा विभाग,open
51,NoWard,11584,"कामपाले विध्यार्थिलाइ निशुल्क छात्रबृत्ति स्कुललाइ सिफारिस गरेकाेमा प्राय विध्यार्थिले निशुल्क भर्ना गरेकाे KMC  र CCRC कलेजले  कामपा बाट आएका विध्यार्थिलाइ भेदभाव गर्ने , भर्ना गर्न राेक्ने कसरी हुन्छ विध्यार्थिलाइ पैसा लिइ मात्र भर्ना गर्न खाेजेकाे छ अनुगमन गर्नु पर्याे भन्ने गुनासाे आएकाे छ । ",07/29/2024,शिक्षा विभाग,open
52,Ward 16,11573,कामपा १६ माछापोखरीमा Kids Learning School मापदण्ड विपरित आवासीय क्षेत्रमा  रहेको तथा विद्यार्थीले होहल्ला गर्ने र कार्यक्रम गर्दा ध्वनी प्रदुषण भई बस्न साह्रै गाह्रो भयो भन्ने गुनासो आएको छ ।,07/26/2024,शिक्षा विभाग,open
53,Ward 32,11549,३२ वडा पेश्सिकाेलाकाे बेन्सि भिजन स्कुलले  त्यहि पढिरहेकाे विध्यार्थिसँग भर्ना शुल्क  लिइ  राखेकाे छ अनुगमन गर्नु पर्याे ।,07/21/2024,शिक्षा विभाग,open
54,Ward 27,11543,"कामपा २७ वडा दरवार हाइस्कुल तथा अन्य सरकारी स्कुलहरुमा Book Free Friday को नाममा विद्यार्थीहरुले मोवाइल ल्याएर च्याटिङ गर्ने, movie हेरेर बस्ने गर्छन् । शिक्षकहरुले विद्यार्थिलाई यस बारेमा केही निगरानी राखेको पाइएन । Book Free Friday  मा practically केही नयाँ कुरा सिकाउनु पर्ने ठाउँमा यस्ता कुराहरुले त झन्  विद्यार्थीको भविष्य माथि नै असर पर्ने भयो । भन्ने गुनासो आएको छ ।",07/19/2024,शिक्षा विभाग,open
55,Ward 27,11331,वडा २७ ग्वार्काेपाखा ठमेल मा रहेकाे एभरेष्ट सेकेण्डरी वाेडिङ स्कुल ले भर्ना फि धेरै लियाे साथै एडमिसन फि पनि मनलाग्दि लिएकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,07/01/2024,शिक्षा विभाग,open
56,Ward 26,11318,"कामपा २६ वडा गल्कोपाखामा रहेको एभरेष्ट सेकेण्डरी बोर्डिङ्ग स्कुलले भर्ना शुल्क भनेर १८,००० र २०,००० लिई रहेको छ । अनुगमन गर्नुपर्यो भन्ने गुनासो आएको छ ।",06/29/2024,शिक्षा विभाग,open
57,Ward 14,11286, १४  वडा कलंकिमा रहेकाे ज्ञानाेदय स्कुलले पत्येक विध्यार्थिसँग महिनै पिच्छे डाेनेसन शुल्क र Exam Fee  भनेर पैसा लिने गरेकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,06/25/2024,शिक्षा विभाग,open
58,NoWard,10283, कामपा भित्र यस शैक्षिकशत्र देखि कक्षा ११ मा साईन्सकाे विध्यार्थिलाइ भर्ना लिदा कलेज स्कुलमा ल्याबकाे क्षमता  हेरेर मात्र भर्ना लिनु पर्याे भन्ने गुनासाे आएकाे छ । ,06/22/2024,शिक्षा विभाग,closed
59,NoWard,9260,"SEE  काे Result  नआउँदै बुकिङ भनेर हिमालय ह्यइटहाउस  कलेज तिनकुने , इन्टन कलेज तिनकुने र अर्वना स्कुल पुतलिसडकले कक्षा ११ काे लागि भर्ना लिइरहेकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",06/19/2024,शिक्षा विभाग,open
60,NoWard,9253, कामपा भित्रका प्राईभेट स्कुलहरुले  एकपटक भर्ना शुल्क र विभिन्न शिर्षकमा पैसा लिइसकेपछि अर्काे वर्ष पनि त्यहि पढेका विध्यार्थिलाइ  भर्ना शुल्क लिने गरेका छन् कामपाले अनुगमन गरेर त्यस्ता स्कुलहरुलाइ कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,06/18/2024,शिक्षा विभाग,open
61,NoWard,9245,कामपा भित्र अहिले धेरै अटिजम राेग लागेका विध्यार्थि बढेका छन् कामपाले सामुदाियक स्कुलहरुमा छुट्टै अटिजम राेग भएकाे विध्यार्थिलाइ पढ्ने पढाउने बातावरण मिलाउनु पर्ने देखिन्छ बिशेष त कामपाले एउटा छुट्टै अटिजम भएकाे विध्यार्थिलाइ  पढाउन स्कुल खाेल्नुपर्छ भन्ने गुनासाे आएकाे छ । ,06/17/2024,शिक्षा विभाग,open
